Temperature,Days_Stagnant,Source_Type,Gas_PPM
38.0,18.1,Rainwater,91.7
31.2,21.4,Sewage,502.93
44.9,20.1,Rainwater,127.96
33.1,5.5,Sewage,251.68
32.8,8.1,Rainwater,108.19
39.6,16.0,Sewage,308.62
22.6,7.3,Sewage,195.5
10.4,4.7,Rainwater,12.03
18.1,20.5,Rainwater,47.48
10.3,8.2,Sewage,127.89
28.2,10.7,Rainwater,57.61
40.7,21.5,Rainwater,53.18
22.5,5.4,Sewage,149.01
31.3,2.7,Rainwater,57.47
41.3,25.4,Sewage,416.72
11.7,24.2,Sewage,218.29
25.2,4.3,Sewage,216.4
32.1,9.4,Sewage,334.61
25.7,8.3,Sewage,352.99
39.5,5.5,Sewage,264.69
20.3,29.5,Sewage,468.5
16.5,8.2,Rainwater,42.01
13.5,9.6,Rainwater,46.92
12.4,19.7,Rainwater,75.11
27.3,2.1,Sewage,137.45
12.1,23.4,Rainwater,94.99
20.0,24.7,Sewage,339.37
18.9,1.2,Rainwater,7.6
34.2,19.5,Rainwater,89.22
44.8,25.0,Rainwater,59.29
11.1,16.6,Sewage,248.7
14.2,7.7,Sewage,194.31
35.6,23.0,Rainwater,135.11
39.6,22.4,Rainwater,102.84
16.2,6.5,Rainwater,33.36
14.1,14.6,Rainwater,47.31
41.5,14.4,Rainwater,103.31
44.5,2.7,Rainwater,43.0
40.9,19.4,Rainwater,55.09
22.5,15.2,Sewage,370.88
23.5,11.7,Sewage,239.76
35.4,2.2,Rainwater,46.07
33.8,26.8,Sewage,412.98
37.9,9.3,Sewage,282.26
29.6,20.6,Rainwater,98.5
29.7,6.5,Sewage,250.08
41.5,17.6,Sewage,372.54
39.3,5.2,Rainwater,103.98
26.3,7.4,Sewage,281.86
39.7,19.7,Rainwater,86.67
27.3,22.1,Rainwater,104.39
29.7,5.1,Rainwater,86.52
36.4,21.0,Sewage,370.43
11.5,24.5,Sewage,349.9
38.3,15.8,Rainwater,121.0
19.0,26.1,Rainwater,88.79
41.7,14.1,Rainwater,85.83
15.2,3.3,Rainwater,12.6
33.6,17.7,Sewage,395.62
37.6,7.0,Sewage,415.1
39.3,6.6,Rainwater,61.48
24.3,6.9,Rainwater,75.47
36.6,28.7,Rainwater,72.4
30.8,14.4,Sewage,438.64
41.9,7.6,Rainwater,88.14
13.4,6.1,Rainwater,23.01
42.0,26.7,Sewage,507.38
12.7,3.3,Rainwater,16.3
30.2,15.5,Sewage,393.82
42.4,11.7,Rainwater,119.09
25.8,10.1,Rainwater,56.83
40.8,12.1,Rainwater,48.63
20.7,18.6,Rainwater,114.25
39.0,13.0,Rainwater,134.99
25.5,20.8,Sewage,335.47
30.7,1.8,Rainwater,23.57
29.2,7.3,Sewage,349.14
16.4,4.4,Rainwater,32.1
13.1,24.1,Rainwater,57.86
40.9,17.4,Rainwater,114.34
23.0,23.5,Rainwater,85.03
34.6,10.0,Rainwater,75.22
19.9,8.8,Sewage,246.95
34.9,21.2,Sewage,297.29
28.3,1.6,Rainwater,32.78
40.8,4.1,Rainwater,72.06
36.3,8.5,Rainwater,67.55
19.4,9.9,Rainwater,78.58
40.9,30.0,Sewage,400.02
40.5,13.6,Sewage,444.54
30.1,1.8,Sewage,105.99
21.5,6.8,Sewage,229.36
45.0,20.6,Sewage,322.99
21.6,14.7,Rainwater,63.41
26.9,2.1,Sewage,107.54
36.6,28.3,Sewage,465.45
22.7,11.7,Sewage,265.24
44.5,2.2,Sewage,253.54
42.8,27.9,Rainwater,123.38
12.1,8.8,Sewage,186.07
38.3,8.1,Rainwater,109.13
32.0,12.4,Rainwater,102.23
41.2,12.4,Sewage,428.91
20.2,27.2,Sewage,431.69
25.7,14.6,Rainwater,96.82
17.3,28.6,Sewage,448.1
33.4,22.7,Sewage,444.13
21.0,4.2,Rainwater,47.96
24.3,7.7,Rainwater,42.65
31.6,14.0,Rainwater,101.41
13.3,27.1,Rainwater,119.79
38.6,16.8,Sewage,457.53
29.6,29.8,Sewage,381.82
32.6,22.2,Rainwater,55.13
30.1,7.3,Sewage,232.42
44.4,13.4,Rainwater,114.01
13.9,11.8,Sewage,178.62
22.0,11.6,Sewage,293.09
19.0,16.8,Rainwater,55.02
30.0,10.5,Rainwater,52.95
39.0,18.5,Rainwater,70.2
44.6,1.2,Rainwater,28.35
38.2,18.1,Sewage,353.49
43.8,27.8,Sewage,377.2
22.8,29.4,Rainwater,116.2
30.9,2.3,Rainwater,38.23
28.8,29.2,Rainwater,62.74
15.4,10.6,Rainwater,69.99
44.0,23.4,Sewage,399.78
35.0,13.5,Sewage,490.03
14.5,22.6,Rainwater,81.9
16.5,2.6,Sewage,78.56
27.6,3.4,Rainwater,34.79
40.2,20.4,Sewage,398.53
22.0,15.4,Rainwater,85.48
35.0,25.8,Sewage,474.54
10.7,21.9,Sewage,227.66
35.0,3.8,Sewage,275.9
32.5,2.4,Rainwater,54.94
37.5,21.4,Sewage,428.63
16.0,21.7,Rainwater,98.48
41.5,18.8,Rainwater,136.76
17.5,14.8,Sewage,316.42
41.8,11.1,Rainwater,63.12
44.5,8.2,Rainwater,123.34
27.7,23.3,Rainwater,108.9
38.2,10.5,Sewage,396.4
40.5,10.7,Sewage,449.28
17.5,10.9,Rainwater,45.43
22.1,22.0,Rainwater,47.29
20.4,11.1,Sewage,337.2
42.4,17.4,Sewage,405.61
13.5,7.2,Sewage,144.08
43.1,22.4,Rainwater,132.33
10.6,25.5,Rainwater,48.26
14.8,25.1,Sewage,395.32
33.0,12.3,Sewage,447.25
33.0,6.4,Rainwater,85.91
13.0,16.2,Rainwater,37.21
17.7,11.4,Sewage,200.73
22.8,4.4,Sewage,119.58
39.1,9.6,Rainwater,49.24
24.7,4.0,Sewage,144.58
39.9,8.1,Sewage,455.24
35.2,2.9,Rainwater,75.15
10.7,17.1,Rainwater,77.81
26.1,13.6,Sewage,340.23
14.0,22.7,Rainwater,79.64
40.9,20.0,Rainwater,99.67
11.0,9.8,Sewage,189.56
24.7,6.2,Sewage,208.82
16.6,7.0,Sewage,154.58
22.3,7.7,Sewage,282.68
10.8,18.3,Sewage,193.97
13.5,16.1,Rainwater,94.25
21.7,27.7,Sewage,325.5
43.8,17.5,Rainwater,105.04
16.1,19.3,Rainwater,85.27
29.6,12.1,Rainwater,136.68
12.3,3.9,Sewage,68.52
35.9,7.5,Sewage,388.51
25.8,17.4,Rainwater,135.93
44.7,26.2,Rainwater,120.83
17.1,17.7,Rainwater,38.67
38.4,24.1,Sewage,505.87
32.5,12.7,Rainwater,49.98
32.5,11.7,Sewage,307.9
30.5,3.0,Rainwater,58.93
13.7,25.0,Sewage,328.9
35.1,19.3,Rainwater,146.04
10.7,18.9,Sewage,309.54
33.5,7.8,Sewage,408.4
41.4,26.7,Sewage,498.53
12.2,24.7,Sewage,362.01
26.2,19.4,Sewage,279.07
22.8,4.2,Rainwater,26.81
43.1,14.5,Sewage,376.8
27.2,24.3,Rainwater,78.63
26.4,15.5,Sewage,286.49
24.1,15.5,Sewage,309.84
29.0,19.9,Rainwater,108.23
11.5,25.9,Rainwater,84.29
24.5,15.0,Rainwater,130.45
18.8,12.5,Sewage,302.27
22.6,6.3,Rainwater,55.8
32.2,9.0,Sewage,417.63
25.4,3.1,Rainwater,40.47
21.7,7.7,Rainwater,79.69
12.8,26.4,Rainwater,42.8
29.9,22.5,Sewage,439.9
40.9,11.9,Sewage,479.17
27.1,26.8,Rainwater,100.04
28.0,17.7,Rainwater,126.49
37.5,6.2,Rainwater,90.18
43.4,13.6,Rainwater,63.76
17.9,13.6,Rainwater,38.41
14.0,7.0,Sewage,134.45
11.3,2.0,Sewage,42.91
16.6,13.6,Sewage,333.29
18.4,14.2,Rainwater,63.69
33.2,11.5,Rainwater,80.61
10.1,14.1,Sewage,263.55
30.7,26.3,Rainwater,51.97
34.8,6.1,Sewage,354.63
32.3,8.3,Rainwater,56.88
21.8,28.9,Sewage,440.11
19.2,7.5,Rainwater,64.16
27.8,19.1,Sewage,294.34
14.6,29.3,Sewage,404.59
35.8,17.6,Rainwater,84.1
39.4,27.0,Sewage,405.68
14.9,16.1,Sewage,245.56
28.2,20.1,Sewage,344.06
41.8,19.3,Sewage,389.4
20.2,27.0,Rainwater,140.67
15.8,17.3,Rainwater,36.1
36.4,16.3,Rainwater,126.48
34.4,29.1,Sewage,387.84
35.6,7.3,Sewage,295.62
38.8,22.8,Sewage,452.4
40.9,1.2,Rainwater,29.1
38.4,28.0,Sewage,351.99
28.5,28.5,Rainwater,48.59
24.6,29.6,Sewage,360.27
23.5,19.7,Rainwater,102.82
13.7,14.5,Sewage,202.2
43.3,9.5,Rainwater,108.11
13.9,14.0,Sewage,244.61
27.2,24.8,Rainwater,105.04
36.2,3.9,Sewage,294.95
30.7,22.2,Rainwater,105.92
21.5,24.1,Sewage,385.41
31.9,20.7,Rainwater,64.69
15.9,10.8,Sewage,269.67
44.7,10.3,Rainwater,86.76
23.4,17.7,Sewage,289.75
22.4,3.8,Sewage,174.48
33.7,15.2,Rainwater,69.44
34.3,22.8,Rainwater,52.17
32.9,8.5,Sewage,425.18
30.7,23.7,Rainwater,109.03
14.5,25.5,Sewage,264.54
18.8,15.2,Sewage,231.43
36.4,6.4,Rainwater,105.6
10.2,27.0,Sewage,318.59
12.7,21.3,Sewage,304.09
17.0,16.1,Sewage,300.05
33.7,17.3,Sewage,410.85
29.8,28.7,Sewage,469.38
44.6,7.7,Sewage,441.81
36.3,21.0,Rainwater,104.8
24.1,20.7,Sewage,354.8
44.4,18.0,Sewage,324.84
26.7,7.7,Rainwater,94.38
29.2,28.2,Rainwater,75.35
37.7,13.5,Sewage,482.97
28.7,5.3,Sewage,214.78
22.3,23.3,Sewage,313.67
44.6,5.3,Sewage,403.77
37.5,8.8,Rainwater,78.46
35.1,14.6,Sewage,342.25
10.3,4.1,Sewage,93.19
25.1,27.0,Sewage,420.09
14.9,26.9,Rainwater,61.82
36.0,23.7,Rainwater,95.43
23.8,16.3,Rainwater,115.91
32.0,19.7,Rainwater,72.61
13.2,18.0,Sewage,295.92
33.7,2.5,Rainwater,49.91
20.7,7.0,Sewage,232.7
44.5,16.5,Rainwater,93.0
34.6,3.1,Sewage,232.5
26.5,20.7,Rainwater,124.85
21.2,16.1,Sewage,425.09
35.0,3.2,Sewage,237.18
17.0,8.9,Rainwater,27.01
41.5,22.8,Rainwater,59.97
24.5,13.1,Rainwater,74.3
20.2,28.3,Rainwater,69.88
24.8,12.0,Rainwater,45.98
37.1,24.2,Rainwater,53.95
22.8,4.1,Sewage,120.46
43.8,11.1,Sewage,334.82
35.7,16.6,Rainwater,52.61
34.5,9.7,Sewage,401.73
20.2,2.6,Sewage,104.25
43.2,8.4,Rainwater,69.93
39.1,28.8,Sewage,372.51
32.3,12.2,Rainwater,74.53
20.7,20.9,Rainwater,93.3
43.4,24.9,Rainwater,97.03
10.7,28.4,Sewage,382.23
13.5,15.9,Sewage,242.16
41.9,3.0,Sewage,299.28
11.4,7.0,Rainwater,35.06
13.4,10.2,Sewage,203.78
21.2,14.6,Sewage,367.18
28.1,16.6,Sewage,399.13
31.5,18.9,Sewage,366.52
20.9,28.5,Sewage,294.8
18.5,14.5,Rainwater,74.56
25.6,21.8,Sewage,379.96
23.2,27.8,Sewage,312.18
21.4,7.9,Rainwater,68.18
15.7,12.6,Rainwater,34.99
30.6,15.3,Sewage,401.29
25.9,24.1,Rainwater,107.24
39.5,24.5,Sewage,443.86
27.4,17.1,Rainwater,70.57
33.6,5.6,Sewage,306.68
32.9,21.5,Rainwater,147.82
36.2,27.3,Sewage,442.47
13.6,21.9,Sewage,303.47
29.0,26.5,Rainwater,96.75
34.4,4.7,Sewage,239.7
37.9,3.8,Sewage,229.97
22.7,20.6,Rainwater,94.3
15.7,24.4,Sewage,307.09
42.9,13.6,Rainwater,84.17
19.7,16.9,Sewage,329.66
16.0,14.4,Rainwater,68.24
43.3,22.3,Rainwater,150.02
14.8,20.3,Rainwater,90.88
15.7,14.2,Rainwater,79.37
35.0,23.2,Rainwater,145.32
25.4,7.3,Sewage,225.13
30.0,10.9,Sewage,306.17
16.7,14.5,Sewage,291.31
19.4,28.2,Sewage,333.1
12.0,22.3,Sewage,334.78
24.4,21.8,Sewage,452.09
35.7,8.8,Rainwater,55.99
20.9,10.5,Rainwater,58.88
31.1,16.2,Rainwater,79.54
23.1,21.8,Sewage,418.28
14.5,19.2,Rainwater,42.11
17.1,6.7,Sewage,137.91
21.2,7.8,Sewage,183.81
38.5,14.0,Sewage,306.77
42.9,14.5,Sewage,423.41
26.4,22.0,Sewage,392.36
13.9,18.3,Rainwater,60.32
32.5,26.9,Sewage,437.71
18.2,6.7,Sewage,141.44
16.7,29.0,Rainwater,73.53
20.4,13.3,Sewage,221.97
15.0,24.5,Rainwater,91.3
40.6,22.7,Sewage,450.33
15.4,6.2,Rainwater,33.37
17.9,7.5,Sewage,209.03
35.9,20.1,Rainwater,76.44
44.1,1.8,Rainwater,68.65
44.4,22.2,Sewage,426.27
36.5,10.0,Sewage,325.06
39.9,15.0,Rainwater,78.16
38.0,1.1,Sewage,117.85
43.7,1.1,Rainwater,52.32
19.2,10.1,Rainwater,49.86
14.7,10.9,Sewage,235.02
27.5,19.9,Rainwater,145.73
13.9,10.8,Sewage,223.82
44.1,22.8,Rainwater,150.27
26.0,23.3,Sewage,419.07
15.8,5.1,Rainwater,22.75
22.6,22.9,Sewage,345.91
20.2,20.4,Sewage,286.89
24.6,21.3,Sewage,418.67
30.6,6.3,Sewage,293.95
24.0,23.2,Rainwater,122.64
11.0,28.8,Rainwater,104.39
40.3,6.0,Sewage,444.31
35.3,18.2,Sewage,363.34
22.2,23.1,Sewage,392.77
12.7,22.9,Sewage,276.05
39.8,19.2,Rainwater,127.48
25.1,8.8,Sewage,312.28
25.7,18.7,Sewage,350.73
39.6,22.8,Sewage,365.47
44.6,17.2,Rainwater,85.39
13.1,29.4,Rainwater,62.6
38.8,24.6,Sewage,450.24
14.1,24.5,Sewage,348.01
14.1,12.1,Sewage,250.47
26.2,2.0,Rainwater,13.14
16.0,2.1,Rainwater,7.6
39.2,24.3,Rainwater,109.29
42.1,14.4,Rainwater,126.71
34.9,1.6,Rainwater,33.9
37.3,4.6,Sewage,363.87
44.0,1.3,Rainwater,57.5
15.3,24.2,Rainwater,106.79
18.3,29.5,Sewage,317.7
33.7,25.5,Rainwater,144.04
12.2,25.7,Rainwater,112.11
32.9,20.1,Rainwater,112.52
39.4,23.0,Sewage,446.89
13.2,15.2,Rainwater,32.54
22.1,19.2,Rainwater,51.14
13.2,17.6,Sewage,270.49
32.9,13.2,Rainwater,146.42
37.4,3.1,Rainwater,67.43
20.9,1.3,Sewage,42.72
32.9,18.5,Sewage,438.56
20.5,4.5,Rainwater,21.69
41.9,24.8,Rainwater,110.4
26.0,1.3,Sewage,76.1
18.8,8.5,Rainwater,61.22
28.2,17.5,Sewage,337.71
39.1,2.8,Sewage,288.11
43.5,29.6,Sewage,351.31
32.4,11.5,Sewage,315.03
11.4,26.9,Sewage,285.74
11.7,18.6,Sewage,205.47
26.4,10.5,Sewage,319.76
22.6,14.8,Sewage,419.17
32.9,15.3,Sewage,364.3
37.4,16.0,Rainwater,56.07
42.5,27.2,Rainwater,52.44
16.2,19.4,Sewage,256.73
25.8,18.5,Rainwater,125.04
12.1,24.3,Rainwater,75.37
21.6,8.6,Sewage,200.96
36.6,23.5,Sewage,488.37
43.3,24.4,Rainwater,119.29
34.6,9.9,Sewage,402.53
42.9,8.3,Sewage,388.67
28.0,18.5,Sewage,423.0
28.4,28.4,Rainwater,119.65
23.0,7.3,Rainwater,45.31
33.4,25.1,Rainwater,99.73
29.9,20.9,Sewage,457.37
20.1,11.7,Sewage,310.12
36.3,14.8,Rainwater,67.17
24.6,23.6,Rainwater,109.98
29.8,5.4,Rainwater,87.66
41.4,9.3,Sewage,340.98
14.3,19.9,Rainwater,67.75
14.4,15.3,Sewage,218.32
24.7,4.2,Rainwater,44.18
25.8,18.6,Rainwater,108.02
15.9,27.7,Rainwater,86.16
12.5,4.7,Sewage,85.55
30.0,24.6,Rainwater,149.07
11.8,25.2,Sewage,329.48
28.5,25.7,Sewage,478.98
24.5,9.3,Rainwater,56.9
15.5,29.7,Rainwater,75.27
43.2,22.6,Sewage,356.83
38.2,19.5,Rainwater,115.17
38.8,5.5,Rainwater,59.65
15.5,9.8,Rainwater,45.91
15.3,5.9,Rainwater,44.03
38.3,13.4,Rainwater,103.23
25.8,18.1,Rainwater,68.53
32.4,19.5,Sewage,392.97
11.3,24.3,Sewage,252.7
10.4,25.3,Sewage,344.6
36.8,21.5,Rainwater,118.51
39.6,1.9,Sewage,164.7
22.0,4.7,Rainwater,52.5
23.0,26.8,Rainwater,120.1
42.6,17.3,Rainwater,141.83
15.2,6.1,Rainwater,51.75
27.1,3.3,Sewage,159.38
32.3,10.8,Rainwater,46.61
13.6,8.5,Sewage,146.7
23.6,1.6,Rainwater,27.59
21.0,28.5,Rainwater,142.9
43.2,8.9,Rainwater,68.86
44.8,21.7,Sewage,322.52
25.0,20.2,Sewage,375.3
25.0,24.1,Rainwater,55.39
38.2,2.6,Sewage,184.22
23.6,1.4,Sewage,60.79
16.3,22.5,Sewage,288.86
28.6,10.6,Rainwater,103.56
10.9,9.9,Sewage,187.75
11.0,23.7,Sewage,216.88
24.1,15.6,Sewage,285.7
27.8,17.6,Rainwater,99.72
31.9,22.2,Rainwater,104.01
39.6,4.8,Rainwater,92.55
24.5,2.6,Sewage,101.93
18.0,15.1,Rainwater,70.08
42.9,23.8,Sewage,361.21
37.6,16.4,Sewage,497.52
26.2,13.8,Sewage,278.24
37.2,16.7,Sewage,401.46
29.6,26.8,Rainwater,123.62
42.1,21.7,Rainwater,95.79
16.6,2.6,Sewage,69.88
35.3,10.5,Sewage,316.19
40.7,15.7,Sewage,366.04
17.9,6.5,Sewage,137.31
11.3,20.9,Sewage,316.12
23.0,19.6,Sewage,396.49
37.9,7.6,Rainwater,83.87
45.0,28.0,Rainwater,71.14
38.0,3.4,Sewage,295.67
34.8,10.3,Sewage,471.16
41.5,18.9,Sewage,341.15
23.3,4.8,Rainwater,29.76
18.0,14.2,Sewage,296.36
43.5,26.5,Sewage,413.2
35.7,15.7,Rainwater,121.68
16.6,5.7,Sewage,165.24
26.5,17.6,Rainwater,67.09
36.0,23.8,Sewage,422.97
19.6,20.1,Rainwater,67.18
34.6,25.5,Sewage,364.13
11.8,29.0,Sewage,382.99
40.4,9.3,Rainwater,117.11
21.5,21.0,Sewage,379.49
38.9,29.8,Sewage,468.35
30.0,28.1,Rainwater,57.89
27.7,23.6,Rainwater,117.4
22.9,1.3,Rainwater,20.77
23.7,21.6,Rainwater,92.27
10.6,22.4,Sewage,315.17
40.2,24.2,Sewage,423.35
18.7,18.1,Sewage,360.44
11.8,21.0,Rainwater,43.39
32.6,22.4,Sewage,487.05
27.8,9.8,Rainwater,58.24
35.6,10.4,Rainwater,97.5
30.6,21.9,Sewage,323.33
14.4,22.9,Rainwater,117.2
19.1,20.0,Sewage,256.84
37.8,11.8,Sewage,332.34
43.7,13.8,Sewage,336.04
20.9,17.2,Sewage,375.89
20.2,11.6,Sewage,287.2
27.0,3.0,Sewage,125.61
20.9,23.6,Rainwater,54.2
35.4,24.0,Sewage,417.01
20.6,7.1,Sewage,208.53
18.4,25.5,Sewage,447.61
20.1,20.2,Rainwater,77.51
28.0,16.5,Sewage,353.67
13.6,5.4,Rainwater,42.33
22.7,16.5,Sewage,303.46
36.0,4.0,Rainwater,92.39
37.4,22.3,Rainwater,84.7
31.8,14.8,Rainwater,125.04
44.8,18.7,Rainwater,54.86
28.1,10.5,Sewage,364.51
24.0,16.7,Rainwater,86.87
17.5,3.2,Rainwater,28.63
15.0,20.6,Rainwater,76.99
20.2,23.1,Sewage,366.35
28.2,8.9,Sewage,354.96
10.4,29.6,Rainwater,40.42
22.7,4.7,Sewage,150.53
13.2,25.0,Rainwater,82.6
30.2,2.0,Sewage,119.43
17.9,16.4,Rainwater,51.06
13.7,8.2,Sewage,152.15
37.4,4.0,Rainwater,42.93
36.8,17.6,Sewage,363.96
41.4,11.5,Rainwater,94.67
12.4,4.7,Rainwater,31.65
20.6,14.5,Rainwater,91.72
25.3,15.5,Sewage,299.17
19.7,21.5,Sewage,349.25
14.5,13.4,Sewage,275.23
28.3,3.9,Sewage,155.4
24.2,4.2,Sewage,173.4
35.2,3.7,Sewage,301.1
24.8,27.1,Rainwater,136.53
39.8,15.6,Rainwater,69.24
37.9,21.1,Rainwater,101.3
33.7,9.5,Sewage,435.77
27.2,20.4,Sewage,429.89
23.7,21.6,Sewage,376.9
39.4,25.1,Sewage,388.1
33.5,27.3,Rainwater,143.45
26.4,14.9,Rainwater,113.09
16.2,27.0,Rainwater,52.97
27.7,17.3,Sewage,287.22
30.3,19.0,Sewage,437.8
41.9,12.6,Rainwater,102.58
27.9,2.2,Sewage,144.02
34.7,23.0,Rainwater,67.09
27.7,16.1,Rainwater,139.05
